Tahun,Unit,KPI,Risiko,Penyebab Risiko,Justifikasi Consequence ,Nilai Consequence Risiko Inheren,Nilai Likelihood Risiko Inheren,Skor Risiko Inheren,Level Risiko Inheren,Respon,Pengendalian Yang Sudah Ada,Rencana Pengendalian,Ukuran Keberhasilan,Target Waktu Penyelesaian,Accountable (A),Responsible (R),Consult (C),Inform (I),Nilai Consequence (Risiko Residu),Nilai Likelihood (Risiko Residu),Level Risiko Residu,Tanggal Disetujui,Risk Analyst,Risk Owner,Menyetujui,Mengetahui,Menyusun,Pencapaian Tujuan Tahunan,Tanggal Diketahui,Risk ID,Status Risiko,ID,Status Dokumen,Skor Risiko Residu,Top Risk,Risk Officer,Tanggal Registrasi,Approver
"2023","TX"," Human Capital Readiness ","Kurangnya kompetensi pegawai","Konsistensi dalam melaksanakan program pengembangan
","1. Tidak dapat mensupport perkerjaan dengan cepat dan akurat
2. Parameter on time reporting""
","2","1","2","Low","Accept","Memberikan kesempatan training untuk seluruh pegawai
"," Implement mentoring program 

","1. Training untuk karyawan terlaksana
2. Sharing session & coaching terlaksana
","Desember 2023","VP TX","SM TX","TD","Staff TX","1","1","Low","4/5/2023","Brian Harfiansyah 580460","Indra Prabowo","Indra Prabowo","Chairuddin",,,"4/5/2023",,"Open","66",,"1","Tidak","Githa Putri Ayuning Tyas","12/28/2022","Indra Prabowo"
"2023","TX"," Organizational Capital Readiness ","Tidak terlaksananya program AOC internal unit","Kurangnya pemahaman personil internal unit atas program-program AoC","Rencana penanaman culture perusahaan tidak sesuai target","2","3","6","Medium","Reduce","- Sosialisasi program AoC
- Reminder pelaksanaan program AoC"," Optimize organization aspect, culture knowledge management and leadership","- Sosialisasi program AoC terlaksana
- Laporan pelaksanaan program AoC tersedia
- Program AoC terlaksana sesuai timeframe","31/12/23","VP TX","AoC TX","TH","TH","1","2","Low","4/5/2023","Brian Harfiansyah 580460","Indra Prabowo","Indra Prabowo","Chairuddin",,,"4/5/2023",,"Open","67",,"2","Tidak","Githa Putri Ayuning Tyas","12/28/2022","Githa Putri Ayuning Tyas"
"2023","TM","Operating Profit Margin","Operating profit tidak mencapai target atau minus","1. Kesalahan dalam penentuan COGS
2. Inefisiensi operasional
3. Realisasi biaya/anggaran overbudget","1. Kurangnya pengetahuan dan tidak detail dalam mendefinisikan cost yang timbul dalam pekerjaan yang dilakukan sehingga menyebabkan tidak semua cost dapat tertagih dah mengurangi operating profit margin. 
2. Terdapat inefisiensi proses dalam pekerjaan yang menimbulkan additional cost diluar cost yang diplanningkan dan telah disetujui oleh stakeholder/customer. 
3. Tingginya pengeluaran untuk menunjang aktivitas operasional maupun non operasional dibandingkan dengan budget cost yang ditagihkan kepada customer","4","4","16","Crisis","Reduce","Realokasi budget
Efisiensi Program","Fokus pada peningkatan operating profit (peningkatan revenue) dan meminimalisir cost","(aktual direct expense/aktual revenue) / (budget direct expense/budget revenue)*100%
","Monthly","VP TM","All SM TM","VP TA",,"2","4","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","68",,"8","Ya","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Inventory","Terdapat penumpukan inventory akibat material yang dibeli tidak terpakai","Ketidaktercapain target CSI TM ","1. Ketidaktercapaian SLA Fulfilment (Material & TAT)
2. Kurangnya respon / aliran informasi terkait update aktivitas material & logistik.","3","2","6","Medium","Share/ Transfer","Memberikan commited SLA ","Memberikan servis sesuai dengan SLA yang dijanjikan

","Target CSI tercapai 4.0","Semester","VP TM","ALL SM TM","VP TP ",,"3","2","High","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","70",,"6","Tidak","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Customer Satisfaction Index","Terjadi keterlambatan update informasi ke stakeholder","Ketidaktercapain target CSI TM ","1. Ketidaktercapaian SLA Fulfilment (Material & TAT)
2. Kurangnya respon / aliran informasi terkait update aktivitas material & logistik.","4","2","8","Medium","Reduce","Memberikan commited SLA ","Memberikan servis sesuai dengan SLA yang dijanjikan

","Target CSI tercapai 4.0","Semester","VP TM","ALL SM TM","VP TP ",,"4","2","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","71",,"8","Ya","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Customer SLA Fulfilment ","Ketidaktercapaian customer SLA Fulfilment ","1.Ketidaksesuai TAT logistik,Customs & Warehouse dalam proses mendeliver material
2.Ketidaktersediaan material akibat dari event maintenance yang berubah-ubah yang menyebabkan ketidaktepatan dalam melakukan perencanaan material, waktu tunggu approval PO, dan eksekusi payment. ","Keterlambatan maintenance dan ketidaktercapaian CSI seusai target
","4","3","12","High","Reduce","1. Evaluasi vendor berdasarkan peforma material, logistik, responsiveness, finance dan quality.
2. Maintain payment kepada top 5 vendor dan forwarder
3. Pengadaan material dengan sistem consigment/JIT","1. Planning improvement ","98% SLA 
","Monthly","VP TM","SM TME, TMC, TMO, TMS",,,"4","3","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","73",,"12","Tidak","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Governance, Risk and Compliance (GRC)","Ketidaksesuaian dalam audit ekternal & Legal action dari vendor","1. Pembayaran BM dan PDRI tidak sesuai dengan ketentuan 
    yang berlaku
2. Pembuatan Dokumen pabean yang belum terselesaikan
3. Demand Letter / Somasi dari Vendor"," - Denda kepabeanan 
 - Legal action / PKPU yang merusak citra perusahaan
","4","4","16","High","Reduce","1. Koordinasi dengan TX untuk melakukan pembayaran BC 28
2. Komunikasi dengan CSSM untuk penagihan BM dan PDRI
3. Pembuatan dokumen kepabeanansesuai aturan yang berlaku
4. Melakukan selfaudit dan stockopname
5. Kontrol dan follow up terhadap demand letter / somasi","1. Menjaga komitmen pembayaran dan komunikasi pada vendor yang telah mengajukan somasi","Nilai denda audit tahun 2023 < tahun 2021
Meminimalisir vendor / somasi vendor tahun 2023
","Yearly","VP TM","All SM TM",,,"4","4","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","75",,"16","Ya","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Continuous Improvement Program","Continues Improvemnet tidak terlaksana karena budget terbatas","Realisasi budget digunakan untuk operasional","Program improvement tidak sempat dilakukan","2","2","4","Medium","Reduce",,"1. Memastikan anggaran trsedia atau realokasi dari angaran lain
2. mencanangkan CI yang tidak membutuhkan anggaran besar","CI telah dilaksanakan
","yearly","VP TM","All SM TM",,,"2","2","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","76",,"4","Tidak","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Asset Management ","Adanya asset aircraft yang belum tercatat","Pergerakan asset tidak termonitor","Data Asset tidak akurat
","4","3","12","High","Reduce",,"
Memonitor pergerakan asset","Data asset monitoring tersedia","Monthly","VP TM","SM TMW",,,"4","3","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","77",,"12","Tidak","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Planning Accuracy","Ketidaktepatan perencanaan penyediaan material ","1. Ketidaksesuaian list material dalam tasklist yang akan dikerjakan dan eksekusi material dalam aktual pengerjaan. 
2. Ketidakakuratan dalam mendefinisikan kebutuhan material (list PN dan Qty) pada MRM.
3. Ketidaksesuaian data DQI terkait historical consumption sehingga evaluasi forecast kebutuhan material menjadi kurang tepat. 
4. Kurangnya support data terkait evaluasi tekhnis dari unit terkait untuk planning material yang berkaitan dengan reability. 
","Material planning  tidak terpakai dan berdampak kepada kenaikan inventory. 

","4","3","12","High","Share/ Transfer","1. Penilaian akurasi planning 
2. Evaluasi material planning (tasklist & minmax) secara periodik
3. Follow up kebutuhan reability dengan unit terkait ",,"Target akurasi material planning 90%
","Monthly","VP TM","SM TMS, SM TME",,,"4","3","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","78",,"12","Tidak","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Material & Logistic Performance","SLA pemenuhan material tidak tercapai","1.Keterlambatan pengadaan material 
2.Keterlambatan proses shipment
3.keterlambatan distribusi
4. Keterbatasan budget sehingga tidak semua material dapat dibayarkan tepat waktu ","SLA maintenance dapat terhambat karena material belum available
","4","3","12","High","Reduce","1. Melakukan reminder kebutuhan material ke produksi
2. Evaluasi dan implementasi Minmax, JIT, consigmnet
3. Maintain payment kepada top 5 vendor dan forwarder
4. Evaluasi performance material handing","1. Melakukan reminder kebutuhan material ke produksi
2. Evaluasi dan implementasi Minmax, JIT, consigmnet
3. Maintain payment kepada top 5 vendor dan forwarder
4. Evaluasi performance material handing","98% SLA 
","Monthly","VP TM","All SM TM ",,,"4","3","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","79",,"12","Ya","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Human Capital Readiness (HCR)","Tidak tercapainya target HCR yang berdampak pada bisnis dan operasional","1. Kurangnya man power
2. Terdapat unskill personel","Terganggunya operasional dan potensi COPQ","4","3","12","Medium","Reduce",,"1.Pelaporan Man power planning
2. Monitor COT ","""1. Pelaporan MPP tersedia
2. COT terlaksana""
","Yearly","VP TM","All SM TM",,,"4","3","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","80",,"12","Ya","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Organization Capital Readiness (OCR)","Implementasi program tidak terlaksana","Kurangnya monitor pelaksanaan program
","Keterlambatan proses pembelajaran area kerjanya
","2","3","6","Medium","Reduce",,"Kontrol Implementasi program
","Implementasi program sesuai dengan timeframe
","yearly","VP TM","All SM TM",,,"2","1","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","81",,"2","Tidak","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TM","Information Capital Readiness (ICR)","Implementasi IT tidak terlaksana karena budget terbatas dan time frame yang lama","Ketidaktersediaan budget dan implementasi tidak sesuai target
","Terganggunya aspek bisnis dan operasional
","2","3","6","Medium","Reduce",,"""1. Memastikan anggaran tersedia atau realokasi dari angaran lain
2. Reminder secara periodik""
","Implementasi IT telah dilaksanakan sesuai timeframe
","Yearly","VP TM","All SM TM",,,"2","1","Low","4/12/2023","Albert Ferdinand Christian","Desrianto Adi Prayogi","Desrianto Adi Prayogi","Chairuddin",,,"4/14/2023",,"Open","82",,"2","Tidak","Riska Rizqiwati",,"Desrianto Adi Prayogi"
"2023","TB","F.1.1 Operating Profit Margin","Pencapaian revenue belum bisa mengkompensasi kebutuhan biaya operasional","Pada kuartal I untuk project GA masih menunggu alokasi budget PMN untuk pengadaan material/component, sedangkan untuk project non GA sebagian besar terjadi extend TAT dikarenakan jumlah Manpower terserap di banyak project.","Kebutuhan biaya operasional lebih besar dibandingkan dengan pencapaian revenue","4","2","8","Medium","Reduce","- Nett Profit Control Sheet
- Melakukan kontrol terhadap budget proyek","- Optimalisasi kebutuhan slot berdasarkan urgensi setiap project
-  Melakukan kontrol terhadap budget proyek","EBITDA tercapai di atas 90%","Setiap Proyek","VP TB","GM TB","TP","DB","3","2","Medium",,"Albert Ferdinand Christian","Irvan Pribadi","Irvan Pribadi","Chairuddin",,,,,"Open","83",,"6","Tidak","Catur Nugraheni","4/17/2023",
"2023","TB","F.1.1 Operating Profit Margin","Adanya pekerjaan yang tidak ter-record dengan baik","1. Proses recording data tidak dilakukan secara konsisten
2. Kurangnya informasi kepada produksi terkait dengan kontrak maintenance
(TMB dan Capping)","Revenue & Profit tidak tercapai","4","2","8","Medium","Reduce","- Controling by XPREAM
- PPR Financial
- Percepatan Document completeness
- Contract Awareness","- Rapat koordinasi terkait maintenance contract dengan Unit Production","1. Review by Daily Basis terlaksana
2. Sosialisasi Kontrak (Capping, PBTH, TMB) saat Induction Meeting oleh Planning Coordinator dan CSSM terhadap Unit Terkait","Setiap Proyek","VP TB","GM TBS","GM TB","DB","2","3","Medium",,"Albert Ferdinand Christian","Irvan Pribadi","Irvan Pribadi","Chairuddin",,,,,"Open","84",,"6","Tidak","Catur Nugraheni","4/17/2023",
"2023","TB","F.1.1 Operating Profit Margin","Implementasi dan aplikasi manhours dan material plan yang belum berjalan dengan baik","1. Pekerjaan tidak dilakukan secara efisien yang berakibat pada Manhours yang over
2. Recording Manhours yang kurang disipling / Sliding Manhours
3. Pembelian material-material Routine / Non-Routine yang unused di akhir project","Margin Operating profit semakin mengecil yang diakibatkan karena cost expense yang besar","4","2","8","Medium","Reduce","- Justifikasi Sliding Manhours saat akhir project sebelum closing
- Weekly Report manhours utilization and sliding manhours untuk dilakukan justifikasi
- Controling Material request by Planner atau Production
- Melakukan maintain surplus material
","Rapat koordinasi terkait maintenance contract dengan Project Owner dan Unit Production","1. Manhours report utilization tersedia
2. Controlling Material request tersedia","Setiap Proyek","VP TB","GM TBS","VP TB","DB","2","3","Medium",,"Albert Ferdinand Christian","Irvan Pribadi","Irvan Pribadi","Chairuddin",,,,,"Open","85",,"6","Tidak","Catur Nugraheni","4/17/2023",
"2023","TB","F.1.2 Inventory","Kesalahan dalam menentukan material yang dibutuhkan","1. Kesalahan membaca maintenance manual
2. Penentuan quantity yang over dari
requirement","1. Surplus material di akhir project
2. Meningkatnya inventory di gudang GADC","4","2","8","Medium","Reduce","- Post Project Report material unused
- Database material planning untuk meminimalisir potensi surplus
- Enhance production knowledge untuk menentukan prioritas material","- Melakukan corrective action terhadap surplus inventory
- Weekly control surplus inventory","Monthly KPI Inventory < 10 %","Setiap Proyek","GM TB","Mgr PPC","TM","VP TB","3","2","Medium",,"Albert Ferdinand Christian","Irvan Pribadi","Irvan Pribadi","Chairuddin",,,,,"Open","86",,"6","Tidak","Catur Nugraheni","4/17/2023",
"2023","TB","F.1.2 Inventory","Remove install component tidak sesuai antara sistem dan actual","1. Kesalahan input ke sistem untuk remove install component
2. Proses input ke sistem yang tidak konsisten","WTU/WTC meningkat","3","2","6","Medium","Reduce","- Weekly control WTU/WTC Tersedia
- Melakukan kontroling untuk transaksi remove install component","- Rapat koordinasi terkait closing rate WTU/WTC
","Control WTU/WTC by daily basis terlaksana
","Setiap Proyek","GM TB","Mgr PPC","TM","VP TB","3","2","Medium",,"Albert Ferdinand Christian","Irvan Pribadi","Irvan Pribadi","Chairuddin",,,,,"Open","87",,"6","Tidak","Catur Nugraheni","4/17/2023",
"2023","TB","F.1.2 Inventory","Adanya part-part yang mengendap di gudang unserv menunggu repair","1. Menunggu keputusan Customer terkait item repair
2. Kendala material yang dibutuhkan
untuk repair","WFR meningkat
","3","2","6","Medium","Reduce","- Weekly controling WFR
- Melakukan weekly controling untuk item repair berikut dengan decision & plannya","- Rapat koordinasi terkait closing rate WFR","Control WFR by weekly basis","Setiap Proyek","GM TB","Mgr PPC","TM","VP TB","3","2","Medium",,"Albert Ferdinand Christian","Irvan Pribadi","Irvan Pribadi","Chairuddin",,,,,"Open","88",,"6","Tidak","Catur Nugraheni","4/17/2023",
"2023","TB","F.1.2 Inventory","Material yang di-order AOG tidak digunakan","Keterlambatan material yang di-purchase dikarenakan internal/external problem
","Material dengan biaya AOG akan menjadi beban inventory dan COPQ
","3","2","6","Medium","Reduce","- Close coordination & monitoring dengan Material department
- Koordinasi dengan Customer untuk dapat mengirimkan Material dari Customer (Costumer Supply Part)","- AOG Material yang sudah dibeli akan ditawarkan ke Customer untuk finding-finding yang defered
","1. Customer agree untuk menyediakan material
2. Customer agree untuk membeli material AOG tersebut","Setiap Proyek","GM TB","Mgr PPC","TM","VP TB","3","2","Medium",,"Albert Ferdinand Christian","Irvan Pribadi","Irvan Pribadi","Chairuddin",,,,,"Open","89",,"6","Tidak","Catur Nugraheni","4/17/2023",
"2023","TJ","Operating Profit Margin","Adanya pekerjaan ter-TECO di sistem yang tidak sesuai dengan aktual (manhours dan material consumed)","1. Proses recording data manhours dan material tidak dilakukan secara konsisten (kurang disiplin) dan tidak akurat
2. Withdrawn Item dan MDR covered by other Jobcard/MDR tidak tercatat di sistem
3. Pembelian material-material rutin dan/atau non-rutin ref RO yang tidak digunakan di akhir proyek (TAT proyek tidak terkejar)","Parameter OPM (Operating Profit Margin)","3","3","9","High","Reduce","1. Pelaksanaan post-project review
2. Melaksanakan evaluasi bulanan terkait pencapaian anggaran biaya disertai dengan PICA","1. Melaksanakan Post Project Review
2. Melaksanakan evaluasi bulanan untuk revenue dan anggaran biaya dan identifikasi PICA
3. Meningkatkan pencapaian pengiriman DFP ke Technical Recording sesuai standar waktu yg telah ditentukan QP
4. Induction meeting dilengkapi dengan informasi capping/TMB
5. Implementasi Xpream","1. Monthly Post Project Review terlaksana
2. Revenue and production budget evaluation reported every month
3. Delivery Documents to Technical Recording <= 3 days after RTS
4. Induction meeting dengan informasi capping terlaksana
5. Daily Profitability report dapat ditampilkan di XPream","Monthly","TJ","TJP, TJC, TJH, TJK, TJN","TP","TDS, TA","3","2","Medium","4/5/2023","Albert Ferdinand Christian","Zarul Fuziono","Zarul Fuziono","Chairuddin",,,"4/6/2023",,"Open","90",,"6","Ya","Saphira Alifa Harahap","1/3/2023","Zarul Fuziono"
"2023","TJ","Inventory","Pengerjaan task yg tertunda karena kurangnya keakuratan informasi ketersediaan part dan/atau aktivitas inspeksi/temuan yang terlambat","1. Stok sistem (SAP/SWIFT) tidak sesuai dengan kondisi aktual
2. Tidak konsisten disiplin dalam melakukan input data secara sistem dikarenakan kurangnya pemahaman atas alur rantai pasok
3. Alternatif repair tidak di prirotaskan saat identifikasi awal (keterlambatan kesediaan stock)","1. Meningkatnya nilai WTU-WTC
2. Keakuratan data sistem tidak mencerminkan aktual
3. Stock material berlebih
4. Parameter OPM","3","3","9","High","Reduce","1. Daily control material consume & request per line
2. One day closing","1. Melakukan weekly control reminder untuk transaksi WTU, WTC, dan WFR
2. Melakukan monthly control reminder untuk transaksi Open Order 
3. Pelaksanaan taskforce yang berhubungan dengan KPI DQI, khususnya robbing","1. Weekly control reminder untuk transaksi WTU, WTC, dan WFR tersedia
2. Monthly control reminder untuk transaksi Open Order tersedia
3. Taskforce untuk robbing terlaksana
","Monthly","TJ","TJP, TJC, TJN, TJH, TJO, TJK","TD","TD","3","2","Medium","4/5/2023","Albert Ferdinand Christian","Zarul Fuziono","Zarul Fuziono","Chairuddin",,,"4/6/2023",,"Open","91",,"6","Ya","Saphira Alifa Harahap","1/4/2023","Zarul Fuziono"
"2023","TZ","Inventory - Surplus","adanya dead stock material","ketidak sesuaian antara planning material dan consume material","Inventory gudang akan bertambah dan tidak tercontrol","3","2","6","Medium","Reduce","Controling incoming dan outgoing material di warehouse","Monitoring material project moving ( remindering system)","ketercapaian KPI surplus material sebesar 100%","Q2","TZ","TZS","TZG TZP","TZ TZB TZQ","2","2","Low","3/17/2023","Ria Asyrofa","Cornelis Radjawane","Cornelis Radjawane","Chairuddin",,,"3/21/2023",,"Open","92",,"4","Tidak","Fachmi Yuni Arista",,
"2023","TZ","COPQ","Terjadinya COPQ project","lack of awarnes dari personil dan kurangnya pemahaman terkait COPQ dan HSE","terjadi COPQ melebihi ≤ 0.15%","4","3","12","High","Reduce","Active Supervisiory","1. identification & mitigation COPQ implemention
2. Development HSE personeel di TZ","surveillance rutin di laporkan dan report tersedia","Q2","TZ","TZQ","TZS TZG TZP","TZB","3","2","Medium","3/17/2023","Ria Asyrofa","Cornelis Radjawane","Cornelis Radjawane","Chairuddin",,,"3/21/2023",,"Open","93",,"6","Ya","Fachmi Yuni Arista",,
"2023","TZ","Customer SLA Fulfillment","SLA customer yang tidak tercapi ","pengadaan material yang sering terhambat","kebutuhan project yang terlambat terpenuhi","4","4","16","Crisis","Reduce","Control TAT project","1. melakukan monitoring rutine terhadap Cash Flow
2. melakukan monitoring rutine terhadap performance payment plan","report monitoring tersedia","Q2","TZ","TZS","TZG TZP","TZB TZQ","1","2","Low","3/17/2023","Ria Asyrofa","Cornelis Radjawane","Cornelis Radjawane","Chairuddin",,,"3/21/2023",,"Open","94",,"2","Ya","Fachmi Yuni Arista",,
"2023","TR","Revenue","Kontrak dimenangkan oleh kompetitor","Keunggulan kompetitif yang dimiliki kompetitor lebih disukai dibanding GMF (kapabilitas, ramah lingkungan, dukungan politis yang kuat, dan lain-lain)","Terganggunya pencapaian revenue & operating profit margin TR","4","3","12","High","Reduce",,"1. Melobi secara intensif untuk proyek SIP 
2. Negosiasi kontrak proyek TNI AU, Setneg Rutin dan ABT  
3. Negosiasi project Pengadaan B737-800 & Konversi VVIP Kemhan","1. Mendapatkan kontrak proyek SIP 
2. Mendapatkan kontrak proyek TNI AU, Setneg Rutin & ABT TNI tahun 2023 
3. Mendapatkan kontrak proyek B737-800 & Konversi VVIP Kemhan
","2023/12/31","VP TR","AMS","DT","TA, TD, TX, DF","3","2","Medium",,"Brian Harfiansyah 580460","Asep Mulyana",,,,,,,"Open","96",,"6","Ya","Irvan Aditya Iskandar",,
"2023","TR","Collection","Prasyarat penagihan ke customer belum terpenuhi","1. PPR tidak dijalankan
2. Belum ada report monitoring/control untuk PO 52
3. Dasar perhitungan operating profit margin menggunakan basis accrual merefer pada PA (plan) tidak berdasarkan actual cost","Keputusan management yang tidak tepat","4","3","12","High","Reduce",,"1. Mengontrol penyelesaian pekerjaan supaya satisfactory dan dilengkapi dengan kebutuhan administrasinya agar bisa di Billing sesuai plan Cash-in.
2. Membangun komunikasi yang baik dengan pihak Customer untuk mendapatkan informasi apakah ada syarat penagihan (dokumen pendukung) yang tidak tertulis dikontrak dan potensi ditolak","Jumlah Cash-in Year-to-Date more than 85% compares to posisi piutang non-dispute bulan sebelumnya
","VP TR","VP TR","CSSM, SM TRS, SM TRP","AMS","TA, TX","3","2","Medium",,"Brian Harfiansyah 580460","Asep Mulyana",,,,,,,"Open","97",,"6","Ya","Irvan Aditya Iskandar",,
"2023","TR","Customer SLA  Fulfillment ","Uang yang diperoleh dari customer tidak bisa digunakan full untuk support project TR","1. Corporate membutuhkan cash untuk menjalankan operasional GMF
2. Kurangnya jumlah dana yang dialokasikan untuk project TR","1. Penyediaan material untuk project terhambat
2. Skema pembayaran vendor harus CIA
3. Progress pekerjaan lebih lama (tidak sesuai rencana)
4. Terbatasnya pilihan provider shipment
5. Dikenakan penalty dari customer""","4","3","12","High","Reduce",,"Membuat akun bank khusus TR untuk mempermudah kontrol cash in dan cash out
","TR mempunyai akun bank sendiri (tidak gabung dengan Corporate)
","2023/12/31","VP TR","SM TRF","DT","TD, TX, DF","3","2","Medium",,"Brian Harfiansyah 580460","Asep Mulyana",,,,,,,"Open","99",,"6","Ya","Irvan Aditya Iskandar",,
"2023","TR","Customer SLA  Fulfillment","Miss kalkulasi pada plan yang dijanjikan ke customer, seperti TAT","1. Kurangnya pengetahuan dan pengalaman di area planning engineering
2. Perbedaan interpretasi scope kontrak antara produksi dan customer
3. Tidak ada evaluasi performance dari pekerjaan sebelumnya dari hasil PPR","1. Actual TAT tidak sesuai target yang disepakati
2. Munculnya biaya tambahan sehingga menurunkan operating profit margin dan kepuasan pelanggan
","4","3","12","High","Reduce",,"1. Mengontrol secara intensif proses Pre dan In-Execution 
2. Mempunyai manpower yang expert dalam memproyeksikan nilai suatu proyek 
3. Mempunyai dokumentasi dan kertas kerja PPR atas pekerjaan yang telah selesai.
","1. PA yang sudah lengkap ditanda tangani dan weekly report project internal tersedia (sampai ke cost)
2. Tersedia manpower expert 
3. Tersedia nya dokumentasi PPR""
","2023/12/31","VP TR","AMS, SM TRP","VP TR","TA, TD, TH","3","2","Medium",,"Brian Harfiansyah 580460","Asep Mulyana",,,,,,,"Open","101",,"6","Ya","Irvan Aditya Iskandar",,
"2023","TZ","Asset Management","Asset tidak terutilize dengan baik","Asset serviceabilitynya kurang baik","utiization asset yang rendah","3","2","6","Medium","Reduce","Quaterly pelaksanaan Asset Review board","Logbook utilization asset","Logbook tersedia","Q3","TZ","TZB","TZP,TZG","TZ","2","2","Low","3/17/2023","Ria Asyrofa","Cornelis Radjawane","Cornelis Radjawane","Chairuddin",,,"3/21/2023",,"Open","103",,"4","Tidak","Fachmi Yuni Arista",,
"2023","TZ","Continuous Improvement ","terdapat item continues improvement yang tidak terlaksana","improvement yang akan dilakukan terhalang regulasi dan keterbatasan dana","target 4 Continues improvement tahun 2023 tidak tercapai","4","4","16","Crisis","Reduce","update progress Continues improvement yang ada","pembuatan additional continues improvement diluar dari yang sudah di rencanakan","terdapat 4 continues improvement di tahun 2023","Q3","TZ","TZG TZP TZS TZQ","TZ","TZ","3","2","Medium","3/17/2023","Ria Asyrofa","Cornelis Radjawane","Cornelis Radjawane","Chairuddin",,,"3/21/2023",,"Open","106",,"6","Ya","Fachmi Yuni Arista",,
"2023","TZ"," Human Capital Readiness ","Target manpower readiness tidak tercapai","qualified personil yang di butuhkan tidak terpenuhi","KPI  Human Capital Readiness tidak tercapai","3","3","9","High","Reduce",,"diadakannya internal traning dan sharing session untuk transfer knowledge","internal training  dan sharing session terlaksana","Q3","TZ","TZQ, TZP,TZG,TZb","TZ","TZ","1","2","Low","3/17/2023","Ria Asyrofa","Cornelis Radjawane","Cornelis Radjawane","Chairuddin",,,"3/21/2023",,"Open","109",,"2","Tidak","Fachmi Yuni Arista",,
"2023","TJ","COPQ","Kelalaian dalam pelaksanaan jobcard/MDR yang tidak sesuai procedure sehingga menyebabkan accident/incident","1. Tidak melakukan pekerjaan sesuai prosedur/manual
2. Pengambilan 'shortcuts' dikarenakan tekanan waktu","1. Parameter COPQ","5","3","15","High","Reduce","1. Meningkatkan safety campaign via SAG
2. Briefing diawal dan di akhir shift","'1. Daily surveillance by Production Manager (Checklist), Briefing diawal dan diakhir shift
2. Meningkatkan peran supervisi melalui penugasan dan visual management
3. Peningkatan kompetensi concern for order & achievement orientation melalui training basic aviation workmanship (BAW)","1. Daily surveillance & briefing terlaksana
2. Fungsi supervisi terlaksana
3. BAW terlaksana","Monthly","TJ","TJO, TJC, TJP, TJK, TJN, TJH, TJW","TQY","TQY","4","2","Medium","4/5/2023","Albert Ferdinand Christian","Zarul Fuziono","Zarul Fuziono","Chairuddin",,,"4/6/2023",,"Open","110",,"8","Ya","Saphira Alifa Harahap","1/9/2023","Zarul Fuziono"
